Trichophyton benhamiae
Uncinocarpus reesii
Paracoccidioides lutzii
Paracoccidioides brasiliensis
Coccidioides posadasii
Coccidioides immitis
Onygenales incertae sedis
Histoplasma capsulatum
Baudoinia panamericana
Pseudocercospora fijiensis
Zymoseptoria tritici
Neofusicoccum parvum
Parastagonospora nodorum
Pyrenophora teres
Alternaria alternata
Bipolaris oryzae
Bipolaris sorokiniana
Bipolaris zeicola
Sugiyamaella lignohabitans
Komagataella phaffii
[Candida] auris
Clavispora lusitaniae
Yarrowia lipolytica
Yamadazyma tenuis
Spathaspora passalidarum
Lodderomyces elongisporus
Candida orthopsilosis
Candida dubliniensis
Candida tropicalis
Candida albicans
Candida/Lodderomyces clade
Debaryomyces hansenii
Meyerozyma guilliermondii
Scheffersomyces stipitis
Kazachstania africana
Lachancea thermotolerans
Tetrapisispora blattae
Tetrapisispora phaffii
Vanderwaltozyma polyspora
Eremothecium cymbalariae
Eremothecium gossypii
Naumovozyma dairenensis
Naumovozyma castellii
[Candida] glabrata
Zygosaccharomyces rouxii
Torulaspora delbrueckii
Saccharomyces cerevisiae
Kluyveromyces lactis
Kluyveromyces marxianus
Schizosaccharomyces pombe
Emiliania huxleyi
Nannochloropsis gaditana
Aureococcus anophagefferens
Saprolegnia parasitica
Phytophthora sojae
Phytophthora infestans
Thalassiosira pseudonana
Fragilariopsis cylindrus
Phaeodactylum tricornutum
Galdieria sulphuraria
Cyanidioschyzon merolae
Chondrus crispus
Ostreococcus sp. 
lucimarinus

Ostreococcus tauri
Bathycoccus prasinos
Micromonas commoda
Micromonas pusilla
Coccomyxa subellipsoidea
Chlorella variabilis
Auxenochlorella protothecoides
Monoraphidium neglectum
Volvox carteri
Chlamydomonas reinhardtii
Physcomitrella patens
Selaginella moellendorffii
Amborella trichopoda
Dendrobium officinale
Phalaenopsis equestris
Asparagus officinalis
Elaeis guineensis
Phoenix dactylifera
Musa acuminata
Zea mays
Sorghum bicolor
Setaria italica
Aegilops tauschii
Brachypodium distachyon
Oryza brachyantha
Oryza sativa
BOP clade
Nelumbo nucifera
Sesamum indicum
Olea europaea
Ipomoea nil
Nicotiana tomentosiformis
Nicotiana tabacum
Nicotiana sylvestris
Solanum tuberosum
Solanum pennellii
Solanum lycopersicum
Capsicum annuum
Cynara cardunculus
Lactuca sativa
Helianthus annuus
Daucus carota
Beta vulgaris
Spinacia oleracea
Vitis vinifera
Juglans regia
Arachis ipaensis
Arachis duranensis
Lupinus angustifolius
Lotus japonicus
Medicago truncatula
Cicer arietinum
IRL clade
Vigna radiata
Vigna angularis
Phaseolus vulgaris
Glycine max
Cajanus cajan
NPAAA clade
