name	taxid
Butyrivibrio_fibrisolvens	831
Fibrobacter_succinogenes	833
Porphyromonas_gingivalis	837
Prevotella_ruminicola	839
Wolinella_succinogenes	844
Oxalobacter_formigenes	847
Fusobacterium_gonidiaformans	849
Fusobacterium_mortiferum	850
Fusobacterium_nucleatum	851
Faecalibacterium_prausnitzii	853
Fusobacterium_varium	856
Fusobacterium_periodonticum	860
Fusobacterium_ulcerans	861
Syntrophomonas_wolfei	863
Dichelobacter_nodosus	870
Desulfovibrio_africanus	873
Desulfovibrio_desulfuricans	876
Desulfovibrio_gigas	879
Desulfovibrio_salexigens	880
Desulfovibrio_vulgaris	881
Desulfobulbus_propionicus	894
Desulfococcus_multivorans	897
Desulfomicrobium_baculatum	899
Desulfovibrio_piger	901
Acidaminococcus_fermentans	905
Megasphaera_elsdenii	907
Nitrobacter_hamburgensis	912
Nitrobacter_winogradskyi	913
Nitrosomonas_europaea	915
Nitrosomonas_eutropha	916
Acidithiobacillus_ferrooxidans	920
Starkeya_novella	921
Thiomonas_intermedia	926
Halothiobacillus_neapolitanus	927
Hydrogenobacter_thermophilus	940
Ehrlichia_canis	944
Ehrlichia_chaffeensis	945
Anaplasma_phagocytophilum	948
Neorickettsia_risticii	950
Neorickettsia_sennetsu	951
Francisella_persica	954
Bdellovibrio_bacteriovorus	959
Bacteriovorax_stolpii	960
Herbaspirillum_seropedicae	964
Selenomonas_ruminantium	971
Cellulophaga_lytica	979
Pedobacter_heparinus	984
Cytophaga_hutchinsonii	985
Flavobacterium_johnsoniae	986
Solitalea_canadensis	995
Flavobacterium_columnare	996
Bernardetia_litoralis	999
Marivirga_tractuosa	1006
Saprospira_grandis	1008
Sphingobacterium_mizutaii	1010
Weeksella_virosa	1014
Capnocytophaga_gingivalis	1017
Capnocytophaga_ochracea	1018
Capnocytophaga_sputigena	1019
Allochromatium_vinosum	1049
Halorhodospira_halochloris	1052
Halorhodospira_halophila	1053
Rhodobacter_capsulatus	1061
Rhodobacter_sphaeroides	1063
Rhodomicrobium_vannielii	1069
Rhodobacter_blasticus	1075
Rhodopseudomonas_palustris	1076
Blastochloris_viridis	1079
Pararhodospirillum_photometricum	1084
Rhodospirillum_rubrum	1085
Chlorobium_limicola	1092
Chlorobium_phaeovibrioides	1094
Chlorobium_phaeobacteroides	1096
Chlorobaculum_tepidum	1097
Pelodictyon_luteolum	1100
Prosthecochloris_aestuarii	1102
Chloroflexus_aurantiacus	1108
Porphyrobacter_neustonensis	1112
Microcystis_aeruginosa	1126
Synechocystis_sp._PCC_6714	1147
Synechocystis_sp._PCC_6803	1148
Planktothrix_agardhii	1160
Trichormus_azollae	1164
Anabaena_cylindrica	1165
Leptolyngbya_boryana	1184
Trichodesmium_erythraeum	1206
Prochlorococcus_marinus	1219
Nitrosococcus_oceani	1229
