kegg.code	taxa.id
3357	3357
smo	88036
3252	3252
97234	97234
ppp	3218
3225	3225
3197	3197
cre	3055
3055	3055
vcn	3067
707317	707317
44745	44745
mng	145388
3088	3088
olu	242159
ota	70448
bpg	41875
mis	296587
mpp	38833
csl	248742
38881	38881
cvr	554065
apro	3075
cme	45157
gsl	130081
ccp	2769
153248	153248
35170	35170
sce	4932
4932	4932
ago	33169
erc	45285
kla	28985
28985	28985
kmx	4911
lth	381046
4934	4934
vpo	36033
zro	4956
cgr	5478
ncs	27288
ndi	27289
tpf	113608
tbl	1071379
tdl	4950
kaf	432096
ppa	460519
4927	4927
dha	4959
pic	4924
pgu	4929
spaa	340170
lel	36914
cal	5476
ctp	5482
cot	273371
cdu	42374
5480	5480
cten	2315449
yli	4952
203496	203496
clu	36911
clus	36911
caur	498019
slb	796027
75736	75736
ncr	5141
nte	40127
smp	5147
573841	573841
pan	5145
ttt	35720
mtm	78579
cthr	209285
mgr	318829
29850	29850
tmn	223192
ssck	29908
5116	5116
1214568	1214568
fgr	5518
fpu	101028
fvr	117187
5127	5127
fox	5507
5507	5507
nhe	140110
169388	169388
5514	5514
tre	51453
51453	51453
5547	5547
maw	92637
maj	568076
5111	5111
35717	35717
cmt	73501
176275	176275
plj	33203
124418	124418
5044	5044
val	1051613
vda	27337
cfj	710243
ela	97096
pfy	393283
ssl	5180
bfu	40559
40559	40559
mbe	698440
psco	149040
glz	101852
34373	34373
5539	5539
ani	162425
afm	746128
746128	746128
aor	5062
5062	5062
ang	5061
5061	5061
afv	5059
act	5057
nfi	36630
5053	5053
5060	5060
5067	5067
877550	877550
1549217	1549217
33178	33178
5068	5068
46472	46472
pcs	1108849
5076	5076
pdp	36651
5078	5078
70109	70109
5082	5082
69488	69488
cim	5501
cpw	199306
pbl	1048829
pbn	121759
ure	33188
abe	63400
tve	63417
aje	5037
pno	13684
65784	65784
pte	53485
bze	5017
bsc	45130
bor	101162
aalt	5599
48100	48100
38902	38902
137527	137527
5022	5022
ztr	1047171
pfj	1873960
5499	5499
bcom	1709381
npa	310453
tml	39416
spo	4896
116607	116607
cne	5207
cnb	5207
5207	5207
cgi	37769
tms	5217
5421	5421
5554	5554
ppl	104341
tvs	5325
dsq	114155
pco	231932
5306	5306
5627	5627
5308	5308
shs	40492
hir	984962
psq	202698
adl	1331295
fme	208960
gtr	104355
lbc	29883
mpr	153609
mrr	221103
cci	5346
scm	5334
abp	5341
abv	5341
5341	5341
5400	5400
47427	47427
47429	47429
38945	38945
5323	5323
181762	181762
cput	80637
sla	85982
wse	1708541
wic	245174
uma	5270
pfp	84751
mgl	76773
pgr	5297
55588	55588
mlr	203908
5261	5261
ecu	6035
ein	58839
ehe	27973
ero	571949
nce	40302
72359	72359
4840	4840
mbr	81824
sre	946362
ddi	44689
dpp	5786
dfa	261658
5791	5791
ehi	5759
edi	46681
eiv	33085
acan	5755
pfa	5833
pfd	5833
pfh	5833
pyo	5861
pcb	5825
pbe	5821
pkn	5850
pvx	5855
pcy	5827
tan	5874
tpv	5875
tot	68886
beq	5872
bbo	5865
bmic	5868
cpv	5807
cho	237895
tgo	5811
tet	5911
5908	5908
ptm	5888
smin	1202447
160621	160621
pti	2850
fcy	186039
tps	35128
aaf	44056
ngd	72520
pif	4787
psoj	67593
spar	101203
ehx	2903
561169	561169
gtt	55529
tbr	5691
5691	5691
tcr	5693
5693	5693
lma	5664
5664	5664
lif	5671
ldo	5661
5661	5661
